Id,ReportedDate,AmendDate,Tradeid,Book,BookOwner,Amender,Supervisor,ISIN,TradeDate,SettlementDate,Action,SettDateChange,BookChange,CPartyChange,MultiAmend,PnL,Counterparty,Desk,Quantity,Price,BS
130,22/02/2018,25/02/2018,PD81382318,FUT500,Louis Tomlinson,Liam Payne,Paul Arthurs,KEF,21/02/2018,05/03/2018,Amend,N,N,Y,N,0,DD14ET6,LONMID,93709,470,B
131,29/03/2018,29/03/2018,JA97914191,BD202,Liam Payne,Zayn Malik,Liam Gallagher,KALU,23/03/2018,04/04/2018,Cancel,Y,N,N,N,0,LON5076F,LONLONG,44335,1530,B
132,03/03/2018,06/03/2018,MP17395753,NY422,Louis Tomlinson,Mick Jones,Paul Arthurs,BKEP,02/03/2018,17/03/2018,Cancel,N,N,Y,Y,0,FF90HUI,LONMID,34539,1401,B
133,24/03/2018,27/03/2018,CG76707182,STK20,Louis Tomlinson,Niall Horan,Paul Arthurs,JCTCF,19/03/2018,04/04/2018,Cancel,N,N,N,Y,0,TY00TYO,LONLONG,60540,510,B
134,22/02/2018,22/02/2018,UX62796391,STK350,Louis Tomlinson,Mick Jones,Paul Arthurs,RGA,20/02/2018,05/03/2018,Cancel,N,Y,Y,N,300,GOXXX90,LONMID,53616,2199,S
135,27/03/2018,30/03/2018,GD15924763,NY422,Louis Tomlinson,Adele Adkins,Paul Arthurs,ROST,30/03/2018,08/04/2018,Amend,N,N,N,Y,4500,DD14ET6,LONLONG,77245,3808,S
136,10/03/2018,12/03/2018,KZ80373758,STK20,Louis Tomlinson,James Cordan,Paul Arthurs,CODI,02/03/2018,19/03/2018,Amend,Y,N,Y,Y,-100000,FF90HUI,LONMID,23463,4410,B
137,18/03/2018,20/03/2018,MH28207304,STK20,Louis Tomlinson,Mick Jones,Paul Arthurs,ETB,12/03/2018,24/03/2018,Cancel,N,N,N,N,0,MCXXXX,LONLONG,79653,4366,B
138,05/02/2018,06/02/2018,LM69229599,FUT500,Louis Tomlinson,Harry Styles,Paul Arthurs,SOHO,01/02/2018,12/02/2018,Cancel,Y,N,Y,Y,4500,LON5076F,LONMID,65260,812,S
139,03/02/2018,03/02/2018,RT81064996,LN202,Niall Horan,Louis Tomlinson,Liam Gallagher,ECCZ,27/01/2018,04/02/2018,Amend,N,N,Y,Y,400,DD14ET6,LONLONG,72954,1385,B
140,08/03/2018,08/03/2018,WO11158873,BD202,Liam Payne,Liam Payne,Liam Gallagher,SCG,07/03/2018,25/03/2018,Cancel,Y,N,Y,N,-600,TY00TYO,LONMID,33236,4619,S
141,17/02/2018,18/02/2018,AM65618623,NY422,Louis Tomlinson,Niall Horan,Paul Arthurs,DSW,17/02/2018,23/02/2018,Amend,N,Y,N,N,1000,DD14ET6,LONLONG,73750,4748,S
142,19/03/2018,20/03/2018,HU46333835,LN202,Niall Horan,Liam Payne,Liam Gallagher,BKT,19/03/2018,30/03/2018,Cancel,Y,N,Y,N,10,GOXXX90,LONMID,84589,2040,S
143,15/02/2018,16/02/2018,AB32423980,STK350,Louis Tomlinson,Niall Horan,Paul Arthurs,CORR,12/02/2018,26/02/2018,Amend,N,Y,N,Y,600,CIP23223,LONLONG,13548,3865,S
144,02/03/2018,03/03/2018,SR22334096,BD202,Liam Payne,Niall Horan,Liam Gallagher,NVTR,03/03/2018,14/03/2018,Amend,N,N,Y,N,-1000,RD7070,LONMID,49893,3884,S
145,16/03/2018,17/03/2018,VT70904336,STK350,Louis Tomlinson,Mick Jones,Paul Arthurs,EBF,08/03/2018,27/03/2018,Cancel,N,N,Y,Y,700,TY00TYO,LONLONG,91597,2862,S
146,23/02/2018,23/02/2018,ZX17004576,BD202,Liam Payne,Ed Sheeran,Liam Gallagher,HXL,20/02/2018,23/02/2018,Amend,N,N,N,N,0,DD14ET6,LONMID,1177,2557,S
147,20/03/2018,23/03/2018,CP00899223,FUT500,Louis Tomlinson,Adele Adkins,Paul Arthurs,PAACW,16/03/2018,29/03/2018,Cancel,N,Y,N,Y,50000,TY00TYO,LONLONG,21974,2749,B
148,05/03/2018,08/03/2018,WX54854828,STK350,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,BAC^D,02/03/2018,16/03/2018,Amend,N,N,Y,Y,55,MCXXXX,LONMID,75089,427,S
149,27/02/2018,01/03/2018,FA86201241,NY422,Louis Tomlinson,Zayn Malik,Paul Arthurs,GMZ,20/02/2018,08/03/2018,Cancel,Y,N,N,Y,10,NMKL009,LONLONG,44553,2792,S
150,02/02/2018,04/02/2018,SA66436803,FUT500,Louis Tomlinson,James Cordan,Paul Arthurs,FTGC,01/02/2018,04/02/2018,Cancel,N,Y,Y,Y,-1000,DD14ET6,LONMID,22864,232,B
151,10/03/2018,11/03/2018,IE06691634,NY422,Louis Tomlinson,Mick Jones,Paul Arthurs,NEWT,07/03/2018,26/03/2018,Cancel,N,N,N,N,10,DD14ET6,LONLONG,43144,1570,B
152,27/02/2018,28/02/2018,PF45089115,BD202,Liam Payne,Zayn Malik,Liam Gallagher,NZF,26/02/2018,17/03/2018,Amend,N,N,Y,N,10,MCXXXX,LONMID,52971,4495,S
153,16/03/2018,18/03/2018,ZY07449131,STK20,Louis Tomlinson,Harry Styles,Paul Arthurs,WMLP,17/03/2018,01/04/2018,Cancel,N,N,Y,N,-1000,NMKL009,LONLONG,70623,375,B
154,11/02/2018,14/02/2018,LZ14437166,NY422,Louis Tomlinson,Zayn Malik,Paul Arthurs,CIZ,09/02/2018,17/02/2018,Cancel,N,N,Y,Y,-100000,LON5076F,LONMID,46475,4506,S
155,25/03/2018,26/03/2018,CQ71575385,FUT500,Louis Tomlinson,James Cordan,Paul Arthurs,VCO,20/03/2018,08/04/2018,Amend,Y,N,N,Y,0,FF90HUI,LONLONG,74015,4941,B
156,13/02/2018,16/02/2018,QP96428690,FUT500,Louis Tomlinson,Adele Adkins,Paul Arthurs,AGN^A,16/02/2018,26/02/2018,Amend,N,Y,Y,N,400,GOXXX90,LONMID,87298,2201,B
157,17/03/2018,18/03/2018,UR99358935,BD202,Liam Payne,Zayn Malik,Liam Gallagher,ASV,09/03/2018,28/03/2018,Cancel,N,Y,N,N,-600,DD14ET6,LONLONG,97109,3434,B
158,26/02/2018,26/02/2018,QQ16561210,FUT500,Louis Tomlinson,Harry Styles,Paul Arthurs,ITUB,22/02/2018,08/03/2018,Cancel,N,N,Y,N,420,NMKL009,LONMID,90762,4660,B
159,29/03/2018,29/03/2018,UN28151447,FUT500,Louis Tomlinson,Liam Payne,Paul Arthurs,EXPO,25/03/2018,06/04/2018,Amend,N,N,Y,N,10,DD14ET6,LONLONG,49513,3687,S
160,02/03/2018,02/03/2018,IR74442327,STK20,Louis Tomlinson,Ed Sheeran,Paul Arthurs,NAUH,01/03/2018,04/03/2018,Amend,N,N,Y,N,4500,MCXXXX,LONMID,41282,1524,B
161,25/02/2018,28/02/2018,UP07098817,LN202,Niall Horan,Mick Jones,Liam Gallagher,BLVDU,23/02/2018,27/02/2018,Amend,N,Y,N,Y,600,NMKL009,LONLONG,85122,2410,B
162,04/02/2018,05/02/2018,NJ37988890,STK350,Louis Tomlinson,Ed Sheeran,Paul Arthurs,DFVL,26/01/2018,31/01/2018,Amend,Y,Y,N,Y,55,CIP23223,LONMID,52918,4604,B
163,16/02/2018,19/02/2018,FZ03577681,LN202,Niall Horan,Ed Sheeran,Liam Gallagher,PAAC,17/02/2018,02/03/2018,Cancel,N,Y,Y,Y,4500,TY00TYO,LONLONG,91689,2014,B
164,08/03/2018,09/03/2018,BG06736068,NY422,Louis Tomlinson,James Cordan,Paul Arthurs,CONN,04/03/2018,10/03/2018,Amend,Y,Y,Y,Y,-100000,CIP23223,LONMID,90089,1953,B
165,13/03/2018,14/03/2018,IL49703654,FUT500,Louis Tomlinson,Zayn Malik,Paul Arthurs,FEP,12/03/2018,22/03/2018,Cancel,N,Y,N,N,700,RD7070,LONLONG,58289,3175,S
166,16/03/2018,19/03/2018,VE61745958,NY422,Louis Tomlinson,James Cordan,Paul Arthurs,SC,17/03/2018,05/04/2018,Amend,N,N,N,N,-2500,MCXXXX,LONMID,21137,1677,S
167,12/02/2018,13/02/2018,GG96575972,FUT500,Louis Tomlinson,Mick Jones,Paul Arthurs,PHIIK,07/02/2018,20/02/2018,Cancel,N,N,N,N,400,LON9005,LONLONG,20609,519,B
168,28/03/2018,31/03/2018,GV92129197,STK350,Louis Tomlinson,Mick Jones,Paul Arthurs,NOVT,31/03/2018,07/04/2018,Amend,N,N,N,N,10,GOXXX90,LONMID,46730,3595,B
169,29/03/2018,01/04/2018,OQ46149172,BD202,Liam Payne,Adele Adkins,Liam Gallagher,PCF,31/03/2018,15/04/2018,Amend,N,N,Y,N,4500,CIP23223,LONLONG,5872,4786,B
170,13/02/2018,14/02/2018,EQ76077030,BD202,Liam Payne,Adele Adkins,Liam Gallagher,KRNT,04/02/2018,23/02/2018,Cancel,N,Y,N,N,-2500,RD7070,LONMID,84672,1161,S
171,21/02/2018,24/02/2018,UD49770631,BD202,Liam Payne,Adele Adkins,Liam Gallagher,CYCC,22/02/2018,08/03/2018,Amend,N,N,Y,Y,400,RD7070,LONLONG,55917,3385,B
172,26/03/2018,28/03/2018,BE68250958,FUT500,Louis Tomlinson,Mick Jones,Paul Arthurs,PDCE,18/03/2018,22/03/2018,Amend,N,N,Y,Y,-600,CIP23223,LONMID,5052,3133,S
173,09/02/2018,10/02/2018,JZ24342638,LN202,Niall Horan,Mick Jones,Liam Gallagher,AGRX,10/02/2018,18/02/2018,Cancel,N,N,N,N,0,LON9005,LONLONG,59466,407,S
174,26/02/2018,26/02/2018,DC01990507,LN202,Niall Horan,Ed Sheeran,Liam Gallagher,CY,16/02/2018,24/02/2018,Amend,Y,N,Y,Y,0,LON5076F,LONMID,86239,4756,B
175,27/02/2018,27/02/2018,TF76521504,BD202,Liam Payne,Liam Payne,Liam Gallagher,FRBA,25/02/2018,12/03/2018,Amend,N,Y,N,N,0,CIP23223,LONLONG,97302,2570,S
176,11/03/2018,11/03/2018,EG49450835,STK350,Louis Tomlinson,James Cordan,Paul Arthurs,SSB,05/03/2018,17/03/2018,Amend,N,N,N,Y,400,LON5076F,LONMID,35887,574,S
177,04/02/2018,07/02/2018,RO86964104,BD202,Liam Payne,Ed Sheeran,Liam Gallagher,SHLM,04/02/2018,23/02/2018,Amend,Y,N,Y,N,0,FF90HUI,LONLONG,81115,1857,B
178,12/02/2018,12/02/2018,WK18219757,FUT500,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,CREE,03/02/2018,18/02/2018,Amend,Y,N,N,Y,-2500,CIP23223,LONMID,17862,1481,S
179,08/02/2018,10/02/2018,VG60734915,NY422,Louis Tomlinson,Adele Adkins,Paul Arthurs,BMS,09/02/2018,23/02/2018,Amend,N,Y,N,Y,0,FF90HUI,LONLONG,63928,1774,S
180,20/02/2018,20/02/2018,FD65052012,STK20,Louis Tomlinson,Adele Adkins,Paul Arthurs,TRTN,10/02/2018,02/03/2018,Cancel,N,Y,N,N,0,TY00TYO,LONMID,62386,4977,B
181,17/03/2018,19/03/2018,RG57398689,NY422,Louis Tomlinson,Zayn Malik,Paul Arthurs,VMC,12/03/2018,24/03/2018,Amend,N,N,Y,N,400,MCXXXX,LONLONG,26224,2337,B
182,20/02/2018,20/02/2018,YV13679144,BD202,Liam Payne,James Cordan,Liam Gallagher,UMC,12/02/2018,19/02/2018,Cancel,Y,N,N,N,0,LON9005,LONMID,96147,967,S
183,03/03/2018,04/03/2018,FP67463479,STK20,Louis Tomlinson,Adele Adkins,Paul Arthurs,MER^K,03/03/2018,07/03/2018,Cancel,Y,Y,Y,N,0,DD14ET6,LONLONG,74540,1496,S
184,19/03/2018,20/03/2018,JO26504712,STK20,Louis Tomlinson,Mick Jones,Paul Arthurs,GAIN,15/03/2018,25/03/2018,Amend,N,N,Y,Y,-1000,LON5076F,LONMID,25897,1582,S
185,25/03/2018,25/03/2018,GP51905377,LN202,Niall Horan,Ed Sheeran,Liam Gallagher,PNRG,19/03/2018,31/03/2018,Cancel,N,N,N,Y,400,CIP23223,LONLONG,2333,1195,S
186,24/03/2018,25/03/2018,WT33814841,STK20,Louis Tomlinson,Ed Sheeran,Paul Arthurs,NW^C,18/03/2018,01/04/2018,Amend,N,Y,N,Y,100,NMKL009,LONMID,62659,2294,S
187,18/03/2018,21/03/2018,CP62878751,STK20,Louis Tomlinson,Adele Adkins,Paul Arthurs,EMR,13/03/2018,19/03/2018,Cancel,N,Y,Y,Y,500,LON9005,LONLONG,82100,2426,B
188,17/02/2018,20/02/2018,EW52198448,LN202,Niall Horan,Niall Horan,Liam Gallagher,BMS,19/02/2018,26/02/2018,Cancel,N,N,N,Y,0,FF90HUI,LONMID,7524,860,S
189,09/03/2018,11/03/2018,RU33876102,NY422,Louis Tomlinson,Niall Horan,Paul Arthurs,NEE^H,06/03/2018,21/03/2018,Amend,Y,Y,N,N,0,TY00TYO,LONLONG,91878,1877,S
190,22/02/2018,22/02/2018,KP01049314,NY422,Louis Tomlinson,Harry Styles,Paul Arthurs,CDNA,16/02/2018,22/02/2018,Cancel,N,N,N,Y,50000,FF90HUI,LONMID,42321,3299,B
191,01/02/2018,04/02/2018,JN46412767,FUT500,Louis Tomlinson,Niall Horan,Paul Arthurs,OHI,30/01/2018,02/02/2018,Cancel,N,N,N,N,4500,LON5076F,LONLONG,89274,3750,B
192,27/02/2018,28/02/2018,MS06819980,FUT500,Louis Tomlinson,Adele Adkins,Paul Arthurs,LUB,28/02/2018,16/03/2018,Cancel,N,N,Y,Y,400,RD7070,LONMID,68122,4026,S
193,15/02/2018,17/02/2018,QO72898459,STK20,Louis Tomlinson,Mick Jones,Paul Arthurs,NDP,16/02/2018,26/02/2018,Cancel,N,N,N,N,500,MCXXXX,LONLONG,1178,3279,B
194,21/03/2018,21/03/2018,EG88797241,LN202,Niall Horan,Louis Tomlinson,Liam Gallagher,HT^D,18/03/2018,26/03/2018,Cancel,N,N,N,Y,-2500,RD7070,LONMID,31735,4376,S
195,21/03/2018,24/03/2018,MJ02078856,BD202,Liam Payne,Ed Sheeran,Liam Gallagher,PCRX,19/03/2018,31/03/2018,Amend,N,Y,Y,Y,600,NMKL009,LONLONG,26684,405,B
196,07/02/2018,07/02/2018,IE60014126,NY422,Louis Tomlinson,Liam Payne,Paul Arthurs,USB^O,02/02/2018,20/02/2018,Cancel,N,Y,N,Y,500,FF90HUI,LONMID,54970,3308,B
197,09/02/2018,10/02/2018,AL90393924,FUT500,Louis Tomlinson,Niall Horan,Paul Arthurs,ADXS,01/02/2018,06/02/2018,Cancel,N,N,Y,N,-2500,GOXXX90,LONLONG,16700,1783,S
198,08/03/2018,09/03/2018,JF53798630,BD202,Liam Payne,Harry Styles,Liam Gallagher,PCRX,27/02/2018,14/03/2018,Amend,Y,N,N,N,0,LON9005,LONMID,67948,365,B
199,28/03/2018,31/03/2018,MG83534921,BD202,Liam Payne,Adele Adkins,Liam Gallagher,PEI^C,28/03/2018,16/04/2018,Cancel,N,Y,N,Y,-1000,MCXXXX,LONLONG,60791,3030,B
200,14/02/2018,15/02/2018,NL80908097,STK350,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,EPAM,05/02/2018,08/02/2018,Amend,Y,N,Y,N,50000,FF90HUI,LONMID,13426,3465,B
201,19/03/2018,20/03/2018,XC32007082,LN202,Niall Horan,James Cordan,Liam Gallagher,DGAS,11/03/2018,28/03/2018,Amend,N,Y,N,Y,0,TY00TYO,LONLONG,14500,4694,S
202,18/02/2018,20/02/2018,WE30043557,STK20,Louis Tomlinson,Liam Payne,Paul Arthurs,CMG,19/02/2018,26/02/2018,Amend,N,N,N,Y,400,LON5076F,LONMID,84248,4156,S
203,17/03/2018,17/03/2018,KO66618443,LN202,Niall Horan,Harry Styles,Liam Gallagher,XNY,12/03/2018,20/03/2018,Amend,N,N,N,N,-1000,FF90HUI,LONLONG,64687,412,B
204,15/03/2018,16/03/2018,OZ91755941,LN202,Niall Horan,Harry Styles,Liam Gallagher,CTBB,15/03/2018,01/04/2018,Amend,N,N,N,Y,400,LON5076F,LONMID,76519,2426,B
205,03/02/2018,03/02/2018,UR17813182,STK20,Louis Tomlinson,Ed Sheeran,Paul Arthurs,LOW,03/02/2018,14/02/2018,Cancel,N,N,Y,Y,55,MCXXXX,LONLONG,18003,3424,B
206,10/03/2018,12/03/2018,KU18303973,STK20,Louis Tomlinson,Zayn Malik,Paul Arthurs,FAF,03/03/2018,07/03/2018,Cancel,N,N,N,Y,4500,MCXXXX,LONMID,76982,2962,B
207,01/02/2018,03/02/2018,HH81292329,NY422,Louis Tomlinson,Harry Styles,Paul Arthurs,USDP,24/01/2018,03/02/2018,Cancel,Y,Y,Y,N,50000,LON9005,LONLONG,76227,1962,B
208,06/02/2018,09/02/2018,DE91722943,LN202,Niall Horan,Niall Horan,Liam Gallagher,AMFW,03/02/2018,15/02/2018,Cancel,Y,N,Y,Y,50000,CIP23223,LONMID,82776,3296,S
209,11/03/2018,14/03/2018,VF97772019,LN202,Niall Horan,Liam Payne,Liam Gallagher,ALJJ,08/03/2018,26/03/2018,Cancel,N,N,N,Y,1000,TY00TYO,LONLONG,30494,2822,B
210,03/03/2018,06/03/2018,PD38932073,BD202,Liam Payne,Liam Payne,Liam Gallagher,PANW,02/03/2018,08/03/2018,Cancel,N,Y,N,Y,300,DD14ET6,LONMID,10177,3020,B
211,16/03/2018,19/03/2018,TS25310422,BD202,Liam Payne,Ed Sheeran,Liam Gallagher,IVR,10/03/2018,26/03/2018,Amend,Y,Y,N,Y,400,CIP23223,LONLONG,34924,2356,S
212,28/02/2018,28/02/2018,TI02417478,STK20,Louis Tomlinson,James Cordan,Paul Arthurs,GALE,22/02/2018,03/03/2018,Cancel,Y,Y,N,Y,400,DD14ET6,LONMID,90070,3620,B
213,15/02/2018,16/02/2018,IR95043917,BD202,Liam Payne,Zayn Malik,Liam Gallagher,XBIO,16/02/2018,05/03/2018,Cancel,N,Y,Y,N,100,DD14ET6,LONLONG,85084,2614,B
214,28/02/2018,03/03/2018,SV08199504,LN202,Niall Horan,Harry Styles,Liam Gallagher,CVCO,21/02/2018,28/02/2018,Cancel,N,Y,N,N,500,CIP23223,LONMID,27413,3341,S
215,09/03/2018,10/03/2018,RA48864857,BD202,Liam Payne,Mick Jones,Liam Gallagher,PME,08/03/2018,26/03/2018,Amend,N,N,N,N,55,TY00TYO,LONLONG,66339,4501,S
216,17/03/2018,18/03/2018,MB18345032,FUT500,Louis Tomlinson,Liam Payne,Paul Arthurs,MVT,14/03/2018,24/03/2018,Cancel,Y,N,N,N,10,CIP23223,LONMID,20827,3915,B
217,08/02/2018,10/02/2018,FV77999454,BD202,Liam Payne,James Cordan,Liam Gallagher,MFINL,02/02/2018,20/02/2018,Amend,Y,Y,N,Y,-1000,RD7070,LONLONG,41918,544,S
218,16/02/2018,19/02/2018,OS59941130,STK350,Louis Tomlinson,James Cordan,Paul Arthurs,EVAR,12/02/2018,21/02/2018,Cancel,Y,Y,N,N,-600,TY00TYO,LONMID,79818,2496,B
219,11/03/2018,12/03/2018,CS99534856,FUT500,Louis Tomlinson,Niall Horan,Paul Arthurs,LNT,10/03/2018,30/03/2018,Amend,Y,N,Y,N,400,RD7070,LONLONG,86079,4394,B
220,28/02/2018,03/03/2018,AY14306671,STK350,Louis Tomlinson,Niall Horan,Paul Arthurs,MGLN,26/02/2018,03/03/2018,Amend,N,Y,N,Y,100,FF90HUI,LONMID,40270,1957,B
221,04/03/2018,05/03/2018,DT15396988,NY422,Louis Tomlinson,Liam Payne,Paul Arthurs,VONG,24/02/2018,14/03/2018,Cancel,Y,Y,N,Y,0,RD7070,LONLONG,27873,1913,S
222,07/02/2018,09/02/2018,VH83394253,BD202,Liam Payne,Niall Horan,Liam Gallagher,MSCC,05/02/2018,21/02/2018,Cancel,N,N,N,Y,0,NMKL009,LONMID,69605,3462,B
223,14/03/2018,15/03/2018,NP06755408,BD202,Liam Payne,Niall Horan,Liam Gallagher,GNL,14/03/2018,23/03/2018,Amend,N,N,Y,Y,55,FF90HUI,LONLONG,42738,3887,B
224,16/02/2018,16/02/2018,ZA86467417,STK20,Louis Tomlinson,Mick Jones,Paul Arthurs,EGAN,07/02/2018,26/02/2018,Amend,N,Y,Y,Y,0,GOXXX90,LONMID,98143,3726,S
225,12/03/2018,14/03/2018,ZH98581244,LN202,Niall Horan,Ed Sheeran,Liam Gallagher,STLRU,10/03/2018,21/03/2018,Amend,Y,N,Y,Y,0,LON5076F,LONLONG,44867,359,B
226,21/03/2018,22/03/2018,HQ40090642,LN202,Niall Horan,Adele Adkins,Liam Gallagher,LPTX,15/03/2018,02/04/2018,Cancel,N,N,N,Y,-1000,NMKL009,LONMID,44350,4836,S
227,07/02/2018,08/02/2018,SU04910463,STK20,Louis Tomlinson,Niall Horan,Paul Arthurs,PSL,31/01/2018,14/02/2018,Cancel,Y,N,Y,Y,0,LON9005,LONLONG,70283,2593,S
228,26/03/2018,26/03/2018,VI92058947,LN202,Niall Horan,Mick Jones,Liam Gallagher,GIII,22/03/2018,09/04/2018,Amend,N,N,Y,Y,600,MCXXXX,LONMID,43105,621,B
229,26/03/2018,28/03/2018,UC52327423,STK20,Louis Tomlinson,Adele Adkins,Paul Arthurs,OUT,21/03/2018,24/03/2018,Cancel,N,N,N,N,0,GOXXX90,LONLONG,52161,2543,S
230,01/03/2018,01/03/2018,UY58432754,STK20,Louis Tomlinson,Ed Sheeran,Paul Arthurs,EDGE,25/02/2018,16/03/2018,Cancel,N,N,N,N,100,GOXXX90,LONMID,42475,1329,S
231,20/03/2018,20/03/2018,VN95943445,FUT500,Louis Tomlinson,Ed Sheeran,Paul Arthurs,CPSH,15/03/2018,01/04/2018,Amend,N,N,Y,N,-600,LON9005,LONLONG,26909,3145,B
232,19/02/2018,19/02/2018,MW42742876,STK350,Louis Tomlinson,Zayn Malik,Paul Arthurs,UTI,18/02/2018,01/03/2018,Cancel,N,N,Y,Y,50000,GOXXX90,LONMID,65393,756,S
233,03/02/2018,06/02/2018,GK29500867,BD202,Liam Payne,Mick Jones,Liam Gallagher,PZC,01/02/2018,09/02/2018,Amend,Y,Y,N,N,50000,NMKL009,LONLONG,77547,4276,B
234,21/03/2018,21/03/2018,MF69873428,FUT500,Louis Tomlinson,Harry Styles,Paul Arthurs,BLVDU,15/03/2018,23/03/2018,Amend,N,Y,N,N,-1000,LON5076F,LONMID,97769,3645,S
235,18/02/2018,20/02/2018,GT58975695,STK20,Louis Tomlinson,Liam Payne,Paul Arthurs,TNP^B,15/02/2018,20/02/2018,Cancel,N,N,N,Y,50000,GOXXX90,LONLONG,30393,4085,S
236,15/02/2018,17/02/2018,YI08983716,BD202,Liam Payne,Harry Styles,Liam Gallagher,CBZ,16/02/2018,25/02/2018,Cancel,N,N,N,N,55,RD7070,LONMID,51834,953,B
237,04/03/2018,07/03/2018,BA68406144,NY422,Louis Tomlinson,Adele Adkins,Paul Arthurs,TREE,06/03/2018,22/03/2018,Cancel,Y,N,N,N,-600,DD14ET6,LONLONG,37002,2539,B
238,23/02/2018,23/02/2018,NP26846043,STK350,Louis Tomlinson,James Cordan,Paul Arthurs,EPR,17/02/2018,25/02/2018,Amend,N,Y,N,Y,0,MCXXXX,LONMID,57018,133,S
239,19/02/2018,21/02/2018,PL39253769,LN202,Niall Horan,James Cordan,Liam Gallagher,GMRE,19/02/2018,22/02/2018,Cancel,N,N,N,Y,0,MCXXXX,LONLONG,4075,1349,B
240,24/03/2018,26/03/2018,EU15746079,STK350,Louis Tomlinson,Harry Styles,Paul Arthurs,AFB,16/03/2018,24/03/2018,Amend,Y,N,N,N,10,MCXXXX,LONMID,42314,1643,B
241,07/02/2018,09/02/2018,VU88031918,STK20,Louis Tomlinson,Ed Sheeran,Paul Arthurs,APF,07/02/2018,23/02/2018,Cancel,N,N,Y,N,0,MCXXXX,LONLONG,54629,3671,B
242,13/03/2018,15/03/2018,LG41244259,BD202,Liam Payne,Liam Payne,Liam Gallagher,WLB,14/03/2018,17/03/2018,Cancel,N,Y,N,N,0,TY00TYO,LONMID,94612,1219,B
243,11/02/2018,11/02/2018,KG44981352,LN202,Niall Horan,Liam Payne,Liam Gallagher,LDF,10/02/2018,26/02/2018,Cancel,N,N,N,N,300,LON9005,LONLONG,83492,1483,B
244,11/03/2018,12/03/2018,QF21376365,NY422,Louis Tomlinson,Zayn Malik,Paul Arthurs,ATAI,10/03/2018,14/03/2018,Cancel,N,N,N,Y,10,DD14ET6,LONMID,63971,1850,S
245,25/02/2018,28/02/2018,LN45628265,STK20,Louis Tomlinson,Zayn Malik,Paul Arthurs,ATRC,28/02/2018,13/03/2018,Amend,N,Y,N,N,100,NMKL009,LONLONG,18202,4339,S
246,03/03/2018,06/03/2018,UR16954466,STK350,Louis Tomlinson,Mick Jones,Paul Arthurs,LN,24/02/2018,15/03/2018,Amend,Y,N,Y,N,0,GOXXX90,LONMID,2338,4896,S
247,03/03/2018,06/03/2018,YJ63243790,BD202,Liam Payne,Niall Horan,Liam Gallagher,AGIIL,24/02/2018,01/03/2018,Cancel,Y,N,N,Y,0,DD14ET6,LONLONG,8356,2961,B
248,29/03/2018,30/03/2018,CP10232065,FUT500,Louis Tomlinson,Harry Styles,Paul Arthurs,NR,30/03/2018,18/04/2018,Cancel,N,N,Y,Y,-1000,GOXXX90,LONMID,47306,3008,S
249,20/03/2018,23/03/2018,KE24907619,BD202,Liam Payne,Louis Tomlinson,Liam Gallagher,SNDR,19/03/2018,27/03/2018,Cancel,N,N,N,N,0,TY00TYO,LONLONG,68356,1828,S
250,15/03/2018,17/03/2018,GI31880907,NY422,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,MANU,08/03/2018,26/03/2018,Amend,N,Y,N,Y,-100000,TY00TYO,LONMID,10539,3438,S
251,16/03/2018,16/03/2018,UF35981266,FUT500,Louis Tomlinson,Harry Styles,Paul Arthurs,EXD,16/03/2018,24/03/2018,Amend,Y,N,N,N,-500000,MCXXXX,LONLONG,3184,4353,S
252,08/03/2018,11/03/2018,US33138989,NY422,Louis Tomlinson,Adele Adkins,Paul Arthurs,LLL,09/03/2018,29/03/2018,Amend,N,N,N,N,50000,TY00TYO,LONMID,42255,1255,S
253,18/03/2018,18/03/2018,CQ24908267,BD202,Liam Payne,Louis Tomlinson,Liam Gallagher,NXST,11/03/2018,16/03/2018,Amend,N,N,Y,N,-2500,FF90HUI,LONLONG,17142,568,S
254,25/03/2018,25/03/2018,VB33091750,NY422,Louis Tomlinson,Liam Payne,Paul Arthurs,COLM,17/03/2018,22/03/2018,Cancel,N,Y,Y,Y,0,GOXXX90,LONMID,7603,2381,S
255,24/03/2018,25/03/2018,KJ95684484,NY422,Louis Tomlinson,Liam Payne,Paul Arthurs,ITT,20/03/2018,09/04/2018,Cancel,N,N,N,Y,4500,LON9005,LONLONG,32453,4298,B
256,27/03/2018,29/03/2018,WX47061514,NY422,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,OSBC,22/03/2018,11/04/2018,Cancel,N,N,N,Y,0,LON9005,LONMID,45175,1968,B
257,06/03/2018,07/03/2018,DD21390745,NY422,Louis Tomlinson,James Cordan,Paul Arthurs,GFED,07/03/2018,18/03/2018,Cancel,N,Y,N,Y,0,TY00TYO,LONLONG,67447,2039,B
258,27/03/2018,30/03/2018,PD14153184,NY422,Louis Tomlinson,Niall Horan,Paul Arthurs,EFSC,20/03/2018,27/03/2018,Amend,Y,Y,Y,N,-2500,GOXXX90,LONMID,82125,3756,B
259,02/02/2018,03/02/2018,IJ10815878,FUT500,Louis Tomlinson,Louis Tomlinson,Paul Arthurs,XENE,28/01/2018,13/02/2018,Amend,N,Y,N,Y,-2500,FF90HUI,LONLONG,52721,3358,S
